build_up_area,avg._price,floor,age_of_property,furnishing,bhk,link,possession_status,sector,parking,latitude,longitude
418,5.48,6,0,1,1,"https://housing.com//in/buy/resale/page/12637949-1-bhk-apartment-in-sector-35,-sohna-for-rs-2290000
",1,35,1,28.4155,77.0022
550,4.18,12,4,1,1,"https://housing.com//in/buy/resale/page/11092574-1-bhk-apartment-in-sector-102-for-rs-2300000
",0,102,2,28.475,76.9715
550,4.18,6,3,1,1,"https://housing.com//in/buy/resale/page/10734999-1-bhk-apartment-in-sector-102-for-rs-2300000
",0,102,2,28.475,76.9715
525,4.38,5,2,2,1,"https://housing.com//in/buy/resale/page/12368958-1-bhk-apartment-in-sector-33,-sohna-for-rs-2300000
",0,33,1,28.442,77.0207
420,5.48,12,3,0,1,"https://housing.com//in/buy/resale/page/10342529-1-bhk-apartment-in-sector-102-for-rs-1850000
",0,102,1,28.475,76.9715
900,2.56,2,1,1,1,"https://housing.com//in/buy/resale/page/12528356-1-bhk-apartment-in-sector-93-for-rs-2300000
",0,93,1,28.4153,76.9326
474,4.85,5,1,2,1,"https://housing.com//in/buy/resale/page/10115411-1-bhk-apartment-in-sector-2,-sohna-for-rs-2300000
",0,2,2,28.5095,77.032
850,2.71,2,1,2,1,"https://housing.com//in/buy/resale/page/12528275-1-bhk-apartment-in-sector-93-for-rs-2300000
",0,93,1,28.4153,76.9326
850,2.71,7,3,0,2,"https://housing.com//in/buy/resale/page/10203089-2-bhk-apartment-in-sector-95-for-rs-2300000
",0,95,2,28.4172,76.9081
520,4.42,2,4,1,2,"https://housing.com//in/buy/resale/page/9938764-2-bhk-apartment-in-sector-105-for-rs-2300000
",0,105,1,28.4952,77.0114
646,3.6,2,0,0,2,"https://housing.com//in/buy/resale/page/12478740-2-bhk-apartment-in-sector-89-for-rs-2325000
",2,89,1,28.4253,76.9439
500,4.7,6,2,0,1,"https://housing.com//in/buy/resale/page/12044872-1-bhk-apartment-in-sector-92-for-rs-2350000
",0,92,2,28.4079,76.9153
550,4.27,7,4,1,1,"https://housing.com//in/buy/resale/page/11092498-1-bhk-apartment-in-sector-102-for-rs-2350000
",0,102,2,28.475,76.9715
461,5.2,2,1,0,1,"https://housing.com//in/buy/resale/page/10205017-1-bhk-apartment-in-sector-103-for-rs-2399500
",0,103,1,28.4949,76.9845
356,6.74,12,4,0,1,"https://housing.com//in/buy/resale/page/10342501-1-bhk-apartment-in-sector-102-for-rs-1900000
",0,102,1,28.475,76.9715
250,9.6,1,23,1,1,"https://housing.com//in/buy/resale/page/12273533-1-rk-apartment-in-dlf-phase-4-for-rs-2400000
",0,27,1,28.4658,77.0917
525,4.57,4,5,1,2,"https://housing.com//in/buy/resale/page/11581160-2-bhk-apartment-in-sector-5-for-rs-2400000
",0,5,2,28.4794,77.0176
630,3.81,1,0,0,2,"https://housing.com//in/buy/resale/page/2671649-2-bhk-apartment-in-sector-105-for-rs-2400000-v2
",0,105,0,28.4952,77.0114
300,8.0,7,6,1,1,"https://housing.com//in/buy/resale/page/12548242-1-rk-apartment-in-sector-47-for-rs-2400000
",0,47,0,28.4276,77.0492
950,2.53,3,0,0,2,"https://housing.com//in/buy/resale/page/11190708-2-bhk-apartment-in-sector-68-for-rs-2400000
",2,68,2,28.3853,77.0484
436,5.5,6,1,0,1,"https://housing.com//in/buy/resale/page/11755792-1-bhk-apartment-in-sector-90-for-rs-2400000
",0,90,2,28.4085,76.9369
1202,2.0,3,5,2,1,"https://housing.com//in/buy/resale/page/11642041-1-bhk-apartment-in-sector-57-for-rs-2400000
",0,57,0,28.4232,77.0752
900,2.67,1,10,2,2,"https://housing.com//in/buy/resale/page/11104117-2-bhk-apartment-in-sector-9-for-rs-2400000
",0,9,1,28.4603,77.0
790,3.1,2,0,1,2,"https://housing.com//in/buy/resale/page/12009716-2-bhk-apartment-in-sector-5-for-rs-2241400
",0,5,1,28.4794,77.0176
399,6.14,5,2,2,1,"https://housing.com//in/buy/resale/page/11897160-1-bhk-apartment-in-sector-33-for-rs-2450000
",0,33,3,28.442,77.0207
570,4.3,2,5,1,1,"https://housing.com//in/buy/resale/page/6571632-1-bhk-apartment-in-sector-57-for-rs-2450000-v2
",0,57,1,28.4232,77.0752
700,3.56,3,1,1,2,"https://housing.com//in/buy/resale/page/11628975-2-bhk-apartment-in-sector-4,-sohna-for-rs-2490000
",0,4,1,28.4738,77.0107
950,2.63,6,0,0,3,"https://housing.com//in/buy/resale/page/10845538-3-bhk-apartment-in-sector-78-for-rs-2500000
",1,78,2,28.3733,76.9729
200,12.5,4,0,1,1,"https://housing.com//in/buy/resale/page/10409814-1-rk-apartment-in-sector-28-for-rs-2500000
",0,28,0,28.4728,77.0865
950,2.63,4,0,1,3,"https://housing.com//in/buy/resale/page/11482277-3-bhk-apartment-in-sector-4,-sohna-for-rs-2500000
",3,4,2,28.4738,77.0107
